"","Yr","TOT","SUMM","SSB","std","F","Catch","SSB_unfished","model"
"1",1991,150890,150890,57603,5591.6,0.112345,9797.54,79434.5,"scenario_1"
"2",1992,163079,163079,59319.5,4872.62,0.519544,43067.8,79434.5,"scenario_1"
"3",1993,142474,142474,53132,4525.355,0.468139,34204.7,79434.5,"scenario_1"
"4",1994,127361,127361,49426.85,4330.91,0.304595,21539.1,79434.5,"scenario_1"
"5",1995,124879,124879,47459.6,3994.5,0.233089,16534.1,79434.5,"scenario_1"
"6",1996,128690,128690,46449.8,3593.805,0.478861,31609.1,79434.5,"scenario_1"
"7",1997,120345,120345,43423.2,3171.045,0.417688,25164,79434.5,"scenario_1"
"8",1998,121949,121949,41790.75,2879.6,0.62517,34726.3,79434.5,"scenario_1"
"9",1999,121781,121781,40155.9,2815.585,0.52769,28130.4,79434.5,"scenario_1"
"10",2000,128579,128579,42258.25,2906.26,0.752029,39684.6,79434.5,"scenario_1"
"11",2001,124407,124407,42503.35,3043.475,0.636904,34207.3,79434.5,"scenario_1"
"12",2002,127385,127385,43044.55,3179.025,0.546367,30800.9,79434.5,"scenario_1"
"13",2003,134248,134248,44650.05,3334.49,0.553008,32456.7,79434.5,"scenario_1"
"14",2004,134857,134857,47977.8,3542.365,0.46082,28873.1,79434.5,"scenario_1"
"15",2005,130842,130842,49800.85,3462.04,0.331871,22693.6,79434.5,"scenario_1"
"16",2006,125226,125226,49009.75,3171.04,0.344964,24211.4,79434.5,"scenario_1"
"17",2007,115034,115034,43660.2,2773.48,0.558532,34354.6,79434.5,"scenario_1"
"18",2008,95806.2,95806.2,34372.8,2360.42,0.661953,31228.7,79434.5,"scenario_1"
"19",2009,81987.3,81987.3,27860.15,2033.565,0.794379,28581.7,79434.5,"scenario_1"
"20",2010,73661.9,73661.9,23576.15,1902.44,1.01602,29006.1,79434.5,"scenario_1"
"21",2011,65232.1,65232.1,22067.9,1909.735,0.380327,10888.6,79434.5,"scenario_1"
"22",2012,70668.3,70668.3,25103.45,2026.045,0.564258,18220,79434.5,"scenario_1"
"23",2013,67868.5,67868.5,24627.55,2134.52,0.405219,13612.3,79434.5,"scenario_1"
"24",2014,69608.9,69608.9,24936,2297.31,0.29987,10583.2,79434.5,"scenario_1"
"25",2015,76389.3,76389.3,26599.3,2605.585,0.241989,9209.56,79434.5,"scenario_1"
"26",2016,90073.2,90073.2,29186.9,3003.83,0.34482,13231.8,79434.5,"scenario_1"
"27",2017,87855.5,87855.5,27883.05,2613.985,0.42934,15170.3,79434.5,"scenario_1"
"28",2018,82311,82311,26647.15,2422.695,0.637259,20414.3,79434.5,"scenario_1"
"29",2019,71154.5,71154.5,23086.6,2312.95,0.69228,19186.9,79434.5,"scenario_1"
"30",2020,62434.2,62434.2,19555.8,2246.14,0.593951,14249.9,79434.5,"scenario_1"
"31",2021,60472.2,60472.2,17834,2164.25,0.651058,13966.1,79434.5,"scenario_1"
"32",2022,58732.7,58732.7,17534.35,2177.905,0.571835,11852,79434.5,"scenario_1"
"33",2023,55767.9,55767.9,18301.65,2636.15,0.32731,7311.63,79434.5,"scenario_1"
"34",2024,54611.8,54611.8,19187.8,3224.84,0.141283,3655.2,79434.5,"scenario_1"
"35",2025,61611,61611,21137.95,12057.35,0.200104,5894.46,79434.5,"scenario_1"
"36",2026,67903.2,67903.2,22749.45,21124.75,0.251005,7861.02,79434.5,"scenario_1"
"37",2027,73404.5,73404.5,24559.25,26843.65,0.309422,10169.6,79434.5,"scenario_1"
"38",2028,77256.4,77256.4,26022.65,28193.6,0.3568,12246.5,79434.5,"scenario_1"
"39",2029,79279.4,79279.4,26843.65,27113.65,0.383367,13544.7,79434.5,"scenario_1"
"40",2030,80020.8,80020.8,27157.45,25721.65,0.393488,14086.5,79434.5,"scenario_1"
"41",2031,80161.5,80161.5,27222.3,24897.75,0.395546,14212.9,79434.5,"scenario_1"
"42",2032,80124.9,80124.9,27210.1,24611.85,0.395127,14200.4,79434.5,"scenario_1"
"43",2033,80081,80081,27192.7,24577.35,0.394557,14172.3,79434.5,"scenario_1"
"44",2034,80059.4,80059.4,27183.8,24612.3,0.394269,14156.9,79434.5,"scenario_1"
"45",2035,80053,80053,27181.05,24643.5,0.39418,14151.7,79434.5,"scenario_1"
"46",2036,80052.5,80052.5,27180.75,24657.95,0.394171,14151,79434.5,"scenario_1"
"47",1991,150890,150890,57603,5591.6,0.112345,9797.54,79434.5,"scenario_2"
"48",1992,163079,163079,59319.5,4872.62,0.519544,43067.8,79434.5,"scenario_2"
"49",1993,142474,142474,53132,4525.355,0.468139,34204.7,79434.5,"scenario_2"
"50",1994,127361,127361,49426.85,4330.91,0.304595,21539.1,79434.5,"scenario_2"
"51",1995,124879,124879,47459.6,3994.5,0.233089,16534.1,79434.5,"scenario_2"
"52",1996,128690,128690,46449.8,3593.805,0.478861,31609.1,79434.5,"scenario_2"
"53",1997,120345,120345,43423.2,3171.045,0.417688,25164,79434.5,"scenario_2"
"54",1998,121949,121949,41790.75,2879.6,0.62517,34726.3,79434.5,"scenario_2"
"55",1999,121781,121781,40155.9,2815.585,0.52769,28130.4,79434.5,"scenario_2"
"56",2000,128579,128579,42258.25,2906.26,0.752029,39684.6,79434.5,"scenario_2"
"57",2001,124407,124407,42503.35,3043.475,0.636904,34207.3,79434.5,"scenario_2"
"58",2002,127385,127385,43044.55,3179.025,0.546367,30800.9,79434.5,"scenario_2"
"59",2003,134248,134248,44650.05,3334.49,0.553008,32456.7,79434.5,"scenario_2"
"60",2004,134857,134857,47977.8,3542.365,0.46082,28873.1,79434.5,"scenario_2"
"61",2005,130842,130842,49800.85,3462.04,0.331871,22693.6,79434.5,"scenario_2"
"62",2006,125226,125226,49009.75,3171.04,0.344964,24211.4,79434.5,"scenario_2"
"63",2007,115034,115034,43660.2,2773.48,0.558532,34354.6,79434.5,"scenario_2"
"64",2008,95806.2,95806.2,34372.8,2360.42,0.661953,31228.7,79434.5,"scenario_2"
"65",2009,81987.3,81987.3,27860.15,2033.565,0.794379,28581.7,79434.5,"scenario_2"
"66",2010,73661.9,73661.9,23576.15,1902.44,1.01602,29006.1,79434.5,"scenario_2"
"67",2011,65232.1,65232.1,22067.9,1909.735,0.380327,10888.6,79434.5,"scenario_2"
"68",2012,70668.3,70668.3,25103.45,2026.045,0.564258,18220,79434.5,"scenario_2"
"69",2013,67868.5,67868.5,24627.55,2134.52,0.405219,13612.3,79434.5,"scenario_2"
"70",2014,69608.9,69608.9,24936,2297.31,0.29987,10583.2,79434.5,"scenario_2"
"71",2015,76389.3,76389.3,26599.3,2605.585,0.241989,9209.56,79434.5,"scenario_2"
"72",2016,90073.2,90073.2,29186.9,3003.83,0.34482,13231.8,79434.5,"scenario_2"
"73",2017,87855.5,87855.5,27883.05,2613.985,0.42934,15170.3,79434.5,"scenario_2"
"74",2018,82311,82311,26647.15,2422.695,0.637259,20414.3,79434.5,"scenario_2"
"75",2019,71154.5,71154.5,23086.6,2312.95,0.69228,19186.9,79434.5,"scenario_2"
"76",2020,62434.2,62434.2,19555.8,2246.14,0.593951,14249.9,79434.5,"scenario_2"
"77",2021,60472.2,60472.2,17834,2164.25,0.651058,13966.1,79434.5,"scenario_2"
"78",2022,58732.7,58732.7,17534.35,2177.905,0.571835,11852,79434.5,"scenario_2"
"79",2023,55767.9,55767.9,18301.65,2636.15,0.32731,7311.63,79434.5,"scenario_2"
"80",2024,54611.8,54611.8,19187.8,3224.84,0.141283,3655.2,79434.5,"scenario_2"
"81",2025,61611,61611,21137.95,12057.35,0.200104,5894.46,79434.5,"scenario_2"
"82",2026,67903.2,67903.2,22749.45,21124.75,0.251005,7861.02,79434.5,"scenario_2"
"83",2027,73404.5,73404.5,24559.25,26843.65,0.309422,10169.6,79434.5,"scenario_2"
"84",2028,77256.4,77256.4,26022.65,28193.6,0.3568,12246.5,79434.5,"scenario_2"
"85",2029,79279.4,79279.4,26843.65,27113.65,0.383367,13544.7,79434.5,"scenario_2"
"86",2030,80020.8,80020.8,27157.45,25721.65,0.393488,14086.5,79434.5,"scenario_2"
"87",2031,80161.5,80161.5,27222.3,24897.75,0.395546,14212.9,79434.5,"scenario_2"
"88",2032,80124.9,80124.9,27210.1,24611.85,0.395127,14200.4,79434.5,"scenario_2"
"89",2033,80081,80081,27192.7,24577.35,0.394557,14172.3,79434.5,"scenario_2"
"90",2034,80059.4,80059.4,27183.8,24612.3,0.394269,14156.9,79434.5,"scenario_2"
"91",2035,80053,80053,27181.05,24643.5,0.39418,14151.7,79434.5,"scenario_2"
"92",2036,80052.5,80052.5,27180.75,24657.95,0.394171,14151,79434.5,"scenario_2"
"93",1991,150890,150890,57603,5591.6,0.112345,9797.54,79434.5,"scenario_3"
