"","Yr","scenario_1","scenario_2","scenario_3","scenario_4","scenario_5","scenario_6","scenario_7"
"1",2023,18301.65,18301.65,18301.65,18301.65,18301.65,18301.65,18301.65
"2",2024,19187.8,19187.8,19159.65,19367.9,19426.2,19141.05,19187.8
"3",2025,21137.95,21137.95,20950.35,22425.35,22876.95,20828.75,21137.95
"4",2026,22749.45,22749.45,22398.8,25504.2,26627.9,22178,22632.45
"5",2027,24559.25,24559.25,24073.5,28879.75,30949.6,23773.55,23918.1
"6",2028,26022.65,26022.65,25413.45,31969.6,35276.95,25040.55,25064.25
"7",2029,26843.65,26843.65,26132.3,34404.5,39135.85,25699.45,25692.05
"8",2030,27157.45,27157.45,26381.5,36297.7,42334.4,25912.4,25904.8
"9",2031,27222.3,27222.3,26418.15,37667,44850.75,25934.75,25931.6
"10",2032,27210.1,27210.1,26399.6,38604.45,46749.3,25913.95,25913.3
"11",2033,27192.7,27192.7,26383.55,39230.05,48154.95,25899.3,25899.45
"12",2034,27183.8,27183.8,26377,39636.7,49172.8,25894.15,25894.3
"13",2035,27181.05,27181.05,26375.6,39895.6,49896.4,25893.4,25893.5
"14",2036,27180.75,27180.75,26375.75,40057.95,50404,25893.75,25893.75
