"","Yr","scenario_1","scenario_2","scenario_3","scenario_4","scenario_5","scenario_6","scenario_7"
"1",2023,0.32731,0.32731,0.32731,0.32731,0.32731,0.32731,0.32731
"2",2024,0.141283,0.141283,0.158132,0.0343642,0,0.169248,0.141283
"3",2025,0.200104,0.200104,0.219975,0.0540898,0,0.232601,0.200104
"4",2026,0.251005,0.251005,0.272928,0.0741173,0,0.286684,0.304714
"5",2027,0.309422,0.309422,0.335702,0.0961931,0,0.35241,0.358146
"6",2028,0.3568,0.3568,0.386006,0.115192,0,0.404616,0.405535
"7",2029,0.383367,0.383367,0.412913,0.115192,0,0.431637,0.431318
"8",2030,0.393488,0.393488,0.422172,0.115192,0,0.440274,0.43996
"9",2031,0.395546,0.395546,0.423484,0.115192,0,0.441116,0.440988
"10",2032,0.395127,0.395127,0.422758,0.115192,0,0.440229,0.440204
"11",2033,0.394557,0.394557,0.422152,0.115192,0,0.439624,0.439629
"12",2034,0.394269,0.394269,0.421907,0.115192,0,0.439415,0.439421
"13",2035,0.39418,0.39418,0.421856,0.115192,0,0.439386,0.439389
"14",2036,0.394171,0.394171,0.421863,0.115192,0,0.4394,0.439401
