"","Yr","Catch","Catch_std","model"
"1",2024,3655.2,29417.3,"scenario_1"
"2",2025,5894.46,40933.7,"scenario_1"
"3",2026,7861.02,46923.8,"scenario_1"
"4",2027,10169.6,47536.6,"scenario_1"
"5",2028,12246.5,45956.1,"scenario_1"
"6",2029,13544.7,44610,"scenario_1"
"7",2030,14086.5,44030.9,"scenario_1"
"8",2031,14212.9,43911.1,"scenario_1"
"9",2032,14200.4,43948.8,"scenario_1"
"10",2033,14172.3,43998.7,"scenario_1"
"11",2034,14156.9,44025,"scenario_1"
"12",2035,14151.7,44033.1,"scenario_1"
"13",2036,14151,29417.3,"scenario_1"
"14",2024,3655.2,29417.3,"scenario_2"
"15",2025,5894.46,40933.7,"scenario_2"
"16",2026,7861.02,46923.8,"scenario_2"
"17",2027,10169.6,47536.6,"scenario_2"
"18",2028,12246.5,45956.1,"scenario_2"
"19",2029,13544.7,44610,"scenario_2"
"20",2030,14086.5,44030.9,"scenario_2"
"21",2031,14212.9,43911.1,"scenario_2"
"22",2032,14200.4,43948.8,"scenario_2"
"23",2033,14172.3,43998.7,"scenario_2"
"24",2034,14156.9,44025,"scenario_2"
"25",2035,14151.7,44033.1,"scenario_2"
"26",2036,14151,29417.3,"scenario_2"
"27",2024,4073.34,31394.1,"scenario_3"
"28",2025,6394.29,42728.2,"scenario_3"
"29",2026,8365.72,48072.1,"scenario_3"
"30",2027,10732.4,48033.5,"scenario_3"
"31",2028,12828.3,46181.9,"scenario_3"
"32",2029,14076.2,44872.8,"scenario_3"
"33",2030,14549.3,44410.8,"scenario_3"
"34",2031,14632.6,44368.5,"scenario_3"
"35",2032,14605.3,44432.3,"scenario_3"
"36",2033,14576.7,44481.5,"scenario_3"
"37",2034,14564,44500.9,"scenario_3"
"38",2035,14561,44504.1,"scenario_3"
"39",2036,14561.1,31394.1,"scenario_3"
"40",2024,914.186,10281.9,"scenario_4"
"41",2025,1745.65,17593.8,"scenario_4"
"42",2026,2729.69,10340.2,"scenario_4"
"43",2027,3963.14,12464,"scenario_4"
"44",2028,5236.46,13979.4,"scenario_4"
"45",2029,5678.72,15019.6,"scenario_4"
"46",2030,6045.71,15724.2,"scenario_4"
"47",2031,6319.65,16192.7,"scenario_4"
"48",2032,6511.04,16500.1,"scenario_4"
"49",2033,6638.21,16699.2,"scenario_4"
"50",2034,6720.33,16826.9,"scenario_4"
"51",2035,6772.33,16908.1,"scenario_4"
"52",2036,6804.82,10281.9,"scenario_4"
"53",2024,0,0,"scenario_5"
"54",2025,0,0,"scenario_5"
"55",2026,0,0,"scenario_5"
"56",2027,0,0,"scenario_5"
"57",2028,0,0,"scenario_5"
"58",2029,0,0,"scenario_5"
"59",2030,0,0,"scenario_5"
"60",2031,0,0,"scenario_5"
"61",2032,0,0,"scenario_5"
"62",2033,0,0,"scenario_5"
"63",2034,0,0,"scenario_5"
"64",2035,0,92576.3,"scenario_5"
"65",2036,0,0,"scenario_5"
"66",2024,4347.23,32621.3,"scenario_6"
"67",2025,6703.44,43791.1,"scenario_6"
"68",2026,8668.1,48705.9,"scenario_6"
"69",2027,11072.6,48273.1,"scenario_6"
"70",2028,13178.6,46287.2,"scenario_6"
"71",2029,14390.8,45026.4,"scenario_6"
"72",2030,14820,44643.1,"scenario_6"
"73",2031,14878.4,44644,"scenario_6"
"74",2032,14844.1,44717.8,"scenario_6"
"75",2033,14816.3,44763.3,"scenario_6"
"76",2034,14805.7,44777.9,"scenario_6"
"77",2035,14803.8,44778.7,"scenario_6"
"78",2036,14804.3,32621.3,"scenario_6"
"79",2024,3655.2,44361.8,"scenario_7"
"80",2025,5894.46,47444.4,"scenario_7"
"81",2026,9399.29,49179.2,"scenario_7"
"82",2027,11328.8,48004.7,"scenario_7"
"83",2028,13227.5,46085.9,"scenario_7"
"84",2029,14378.8,44961.8,"scenario_7"
"85",2030,14805.5,44638.5,"scenario_7"
"86",2031,14872,44651,"scenario_7"
"87",2032,14842.7,44722.1,"scenario_7"
"88",2033,14816.4,44764.5,"scenario_7"
"89",2034,14805.9,44777.9,"scenario_7"
"90",2035,14803.9,44778.5,"scenario_7"
"91",2036,14804.3,44361.8,"scenario_7"
