"","Yr","SSB","SSB_PER","SB100","SB40","SB35","F40","F35","C_ABC","C_OFL"
"1",2024,19187.8,0.24155499184863,79434.5,31773.8,27802.075,0.141283,0.169248,3655.2,4347.23
"2",2025,21137.95,0.266105407599972,79434.5,31773.8,27802.075,0.200104,0.241466,5894.46,7031.05
