"","Yr","scenario_1","scenario_2","scenario_3","scenario_4","scenario_5","scenario_6","scenario_7"
"1",2023,7311.63,7311.63,7311.63,7311.63,7311.63,7311.63,7311.63
"2",2024,3655.2,3655.2,4073.34,914.186,0,4347.23,3655.2
"3",2025,5894.46,5894.46,6394.29,1745.65,0,6703.44,5894.46
"4",2026,7861.02,7861.02,8365.72,2729.69,0,8668.1,9399.29
"5",2027,10169.6,10169.6,10732.4,3963.14,0,11072.6,11328.8
"6",2028,12246.5,12246.5,12828.3,5236.46,0,13178.6,13227.5
"7",2029,13544.7,13544.7,14076.2,5678.72,0,14390.8,14378.8
"8",2030,14086.5,14086.5,14549.3,6045.71,0,14820,14805.5
"9",2031,14212.9,14212.9,14632.6,6319.65,0,14878.4,14872
"10",2032,14200.4,14200.4,14605.3,6511.04,0,14844.1,14842.7
"11",2033,14172.3,14172.3,14576.7,6638.21,0,14816.3,14816.4
"12",2034,14156.9,14156.9,14564,6720.33,0,14805.7,14805.9
"13",2035,14151.7,14151.7,14561,6772.33,0,14803.8,14803.9
"14",2036,14151,14151,14561.1,6804.82,0,14804.3,14804.3
