Model,Label,Value,Phase,Min,Max,Init,Gradient,Pr_type,Prior,Pr_SD,Pr_Like,LCI95,UCI95
M23_0c,Early_InitAge_1,-0.343095,2,-5,5,0,-1.69729e-6,dev,NA,NA,NA,NA,NA
M23_0c,Main_RecrDev_1991,-0.343853,1,-5,5,0,-3.35812e-7,dev,NA,NA,NA,NA,NA
M23_0c,Main_RecrDev_1992,-0.0286706,1,-5,5,0,-1.04741e-6,dev,NA,NA,NA,NA,NA
M23_0c,Main_RecrDev_1993,0.596227,1,-5,5,0,-2.84856e-6,dev,NA,NA,NA,NA,NA
M23_0c,Main_RecrDev_1994,-0.303856,1,-5,5,0,-1.8585e-6,dev,NA,NA,NA,NA,NA
M23_0c,Main_RecrDev_1995,0.403131,1,-5,5,0,-2.80348e-6,dev,NA,NA,NA,NA,NA
M23_0c,Main_RecrDev_1996,0.658633,1,-5,5,0,-2.71553e-6,dev,NA,NA,NA,NA,NA
M23_0c,Main_RecrDev_1997,0.558082,1,-5,5,0,-3.06289e-6,dev,NA,NA,NA,NA,NA
M23_0c,Main_RecrDev_1998,0.247067,1,-5,5,0,-2.52795e-6,dev,NA,NA,NA,NA,NA
M23_0c,Main_RecrDev_1999,0.254157,1,-5,5,0,-1.48539e-6,dev,NA,NA,NA,NA,NA
M23_0c,Main_RecrDev_2000,0.957383,1,-5,5,0,-5.19221e-6,dev,NA,NA,NA,NA,NA
M23_0c,Main_RecrDev_2001,-0.0524986,1,-5,5,0,-1.75397e-6,dev,NA,NA,NA,NA,NA
M23_0c,Main_RecrDev_2002,-0.151654,1,-5,5,0,-2.42148e-6,dev,NA,NA,NA,NA,NA
M23_0c,Main_RecrDev_2003,-0.246005,1,-5,5,0,-1.06309e-6,dev,NA,NA,NA,NA,NA
M23_0c,Main_RecrDev_2004,-0.524289,1,-5,5,0,-1.40109e-6,dev,NA,NA,NA,NA,NA
M23_0c,Main_RecrDev_2005,0.146182,1,-5,5,0,-2.16162e-6,dev,NA,NA,NA,NA,NA
M23_0c,Main_RecrDev_2006,-0.315512,1,-5,5,0,-1.01697e-6,dev,NA,NA,NA,NA,NA
M23_0c,Main_RecrDev_2007,0.109053,1,-5,5,0,-1.03113e-6,dev,NA,NA,NA,NA,NA
M23_0c,Main_RecrDev_2008,-0.0563948,1,-5,5,0,-1.16808e-6,dev,NA,NA,NA,NA,NA
M23_0c,Main_RecrDev_2009,-0.823725,1,-5,5,0,-4.30152e-7,dev,NA,NA,NA,NA,NA
M23_0c,Main_RecrDev_2010,-0.254353,1,-5,5,0,-4.09543e-7,dev,NA,NA,NA,NA,NA
M23_0c,Main_RecrDev_2011,-0.511066,1,-5,5,0,-1.51257e-7,dev,NA,NA,NA,NA,NA
M23_0c,Main_RecrDev_2012,0.165779,1,-5,5,0,-2.33669e-7,dev,NA,NA,NA,NA,NA
M23_0c,Main_RecrDev_2013,0.0468807,1,-5,5,0,6.01792e-7,dev,NA,NA,NA,NA,NA
M23_0c,Main_RecrDev_2014,0.70769,1,-5,5,0,-2.90366e-7,dev,NA,NA,NA,NA,NA
M23_0c,Main_RecrDev_2015,0.161035,1,-5,5,0,4.92649e-8,dev,NA,NA,NA,NA,NA
M23_0c,Main_RecrDev_2016,0.225527,1,-5,5,0,4.41501e-8,dev,NA,NA,NA,NA,NA
M23_0c,Main_RecrDev_2017,0.199048,1,-5,5,0,-6.79404e-7,dev,NA,NA,NA,NA,NA
