Label,M23_0a,M23_0c
TOTAL_like,777.812,769.872
Survey_like,-1.9787,-8.21463
Length_comp_like,141.08,141.553
Age_comp_like,641.532,639.635
Parm_priors_like,0.622167,0.65535
Recr_Virgin_millions,23.633,24.3493
SR_LN(R0),10.0704,10.1003
SR_BH_steep,1,1
NatM_uniform_Fem_GP_1,0.338611,0.403509
NatM_uniform_Fem_GP_1_BLK2add_1991,NA,-0.0838666
NatM_uniform_Fem_GP_1_BLK2add_2016,NA,0.083867
L_at_Amax_Fem_GP_1,117.212,117.259
VonBert_K_Fem_GP_1,0.191092,0.193694
VonBert_K_Fem_GP_1_BLK1add_1991,0.00430556,0.00112976
VonBert_K_Fem_GP_1_BLK1add_2004,0.00301201,-0.00112958
VonBert_K_Fem_GP_1_BLK1add_2018,-0.00731723,NA
SSB_Virgin_thousand_mt,163.374,194.596
Bratio_2021,0.231044,0.183293
SPRratio_2020,0.610683,0.487826
