Label,M23_0a,M23_0c,,
TOTAL_like,773.586,765.778,,
Survey_like,-2.21374,-8.28472,,
Length_comp_like,138.398,138.924,,
Age_comp_like,640.848,638.916,,
Parm_priors_like,0.0233247,0.0862699,,
Recr_Virgin_millions,25.202,25.8696,,
SR_LN(R0),10.1347,10.1608,,
SR_BH_steep,1,1,,
NatM_uniform_Fem_GP_1,0.350872,0.414807,,
NatM_uniform_Fem_GP_1_BLK2add_1991,NA,-0.0833121,,
NatM_uniform_Fem_GP_1_BLK2add_2018,NA,0.0833126,,
L_at_Amax_Fem_GP_1,117.18,117.198,,
VonBert_K_Fem_GP_1,0.19045,0.1931,,
VonBert_K_Fem_GP_1_BLK1add_1991,0.00402214,8.99E-04,,
VonBert_K_Fem_GP_1_BLK1add_2004,0.00316891,-8.99E-04,,
VonBert_K_Fem_GP_1_BLK1add_2018,-0.00719042,NA,,
SSB_Virgin_thousand_mt,157.733,187.205,,
Bratio_2021,0.239639,0.190425,,second model (102)
SPRratio_2020,0.596328,0.476277,,exp((100 _ 102)/2) = 0.368 times as probable as the first model 
npar,72,73,,
AIC,1691.172,1677.556,,
