"","Yr","scenario_1","scenario_2","scenario_3","scenario_4","scenario_5","scenario_6","scenario_7"
"1",2023,0.254176,0.254176,0.254176,0.254176,0.254176,0.254176,0.254176
"2",2024,0.824598,0.824598,0.584366,0.168118,0,1.02551,0.824599
"3",2025,0.787482,0.787482,0.620993,0.205909,0,0.892332,0.787481
"4",2026,0.851783,0.851783,0.686675,0.205909,0,0.964171,1.06033
"5",2027,0.985649,0.985649,0.757824,0.205909,0,1.132,1.14435
"6",2028,1.09654,1.09654,0.757824,0.205909,0,1.26167,1.25838
"7",2029,1.10961,1.10961,0.757824,0.205909,0,1.31254,1.3097
"8",2030,1.10961,1.10961,0.757824,0.205909,0,1.31545,1.31469
"9",2031,1.10961,1.10961,0.757824,0.205909,0,1.30852,1.30858
"10",2032,1.10961,1.10961,0.757824,0.205909,0,1.30509,1.30521
"11",2033,1.10961,1.10961,0.757824,0.205909,0,1.30463,1.30468
"12",2034,1.10961,1.10961,0.757824,0.205909,0,1.30493,1.30493
"13",2035,1.10961,1.10961,0.757824,0.205909,0,1.30511,1.30511
"14",2036,1.10961,1.10961,0.757824,0.205909,0,1.30515,1.30515
