"","Yr","scenario_1","scenario_2","scenario_3","scenario_4","scenario_5","scenario_6","scenario_7"
"1",2023,22924.85,22924.85,22924.85,22924.85,22924.85,22924.85,22924.85
"2",2024,25001.2,25001.2,25315.85,25874.25,26104.7,24742.3,25001.2
"3",2025,24508.95,24508.95,26065.75,29387.8,30993.65,23362.4,24508.9
"4",2026,25364.35,25364.35,27379.65,33106.05,36459.8,24083.6,25094.95
"5",2027,27146.6,27146.6,29432.2,37491.1,42572.4,25790.35,25921.7
"6",2028,28622.45,28622.45,31470.35,41777.2,48529.25,27113.65,27080.6
"7",2029,29363.5,29363.5,33183.8,45414.2,53787,27633.45,27604.55
"8",2030,29709.25,29709.25,34297.25,48219.65,58160.5,27664.3,27656.55
"9",2031,29823.15,29823.15,34901.25,50230,61636.5,27594.3,27594.85
"10",2032,29841.3,29841.3,35186.75,51585,64293.5,27559.35,27560.6
"11",2033,29836.7,29836.7,35309.1,52467.5,66302,27554.7,27555.15
"12",2034,29831.75,29831.75,35358.3,53022,67786,27557.7,27557.7
"13",2035,29829.3,29829.3,35377.1,53362,68865,27559.55,27559.5
"14",2036,29828.3,29828.3,35384,53566,69640.5,27559.9,27559.9
