"","Yr","Catch","Catch_std","model"
"1",2024,15237.8,34644.7,"scenario_1"
"2",2025,14618.4,44288.7,"scenario_1"
"3",2026,15890.7,46996.1,"scenario_1"
"4",2027,18675,24248.1,"scenario_1"
"5",2028,21358.9,28243.4,"scenario_1"
"6",2029,22234.5,30258.6,"scenario_1"
"7",2030,22665,31419.1,"scenario_1"
"8",2031,22843.6,32069.1,"scenario_1"
"9",2032,22885,32389.5,"scenario_1"
"10",2033,22885.1,32525.8,"scenario_1"
"11",2034,22880.2,32577,"scenario_1"
"12",2035,22877.3,32594.3,"scenario_1"
"13",2036,22876,34644.7,"scenario_1"
"14",2024,15237.8,34644.7,"scenario_2"
"15",2025,14618.4,44288.7,"scenario_2"
"16",2026,15890.7,46996.1,"scenario_2"
"17",2027,18675,24248.1,"scenario_2"
"18",2028,21358.9,28243.4,"scenario_2"
"19",2029,22234.5,30258.6,"scenario_2"
"20",2030,22665,31419.1,"scenario_2"
"21",2031,22843.6,32069.1,"scenario_2"
"22",2032,22885,32389.5,"scenario_2"
"23",2033,22885.1,32525.8,"scenario_2"
"24",2034,22880.2,32577,"scenario_2"
"25",2035,22877.3,32594.3,"scenario_2"
"26",2036,22876,34644.7,"scenario_2"
"27",2024,11241.8,31212.3,"scenario_3"
"28",2025,12677.1,19412.2,"scenario_3"
"29",2026,14432.5,26476.3,"scenario_3"
"30",2027,16436.1,30293,"scenario_3"
"31",2028,17357.7,31350.9,"scenario_3"
"32",2029,18475.8,31133.5,"scenario_3"
"33",2030,19365.4,30688.9,"scenario_3"
"34",2031,19908.7,30367,"scenario_3"
"35",2032,20183.8,30195.4,"scenario_3"
"36",2033,20307,30116.2,"scenario_3"
"37",2034,20358.1,30082.8,"scenario_3"
"38",2035,20378.2,30069.8,"scenario_3"
"39",2036,20385.7,31212.3,"scenario_3"
"40",2024,3479.11,6541.41,"scenario_4"
"41",2025,5130.03,9636.93,"scenario_4"
"42",2026,5887.85,12573.1,"scenario_4"
"43",2027,6655.27,14846.3,"scenario_4"
"44",2028,7466.22,16263.1,"scenario_4"
"45",2029,8263.3,16975.5,"scenario_4"
"46",2030,8965.82,17264.9,"scenario_4"
"47",2031,9520.99,17315.6,"scenario_4"
"48",2032,9922.07,17277,"scenario_4"
"49",2033,10195.5,17218.8,"scenario_4"
"50",2034,10372.8,17166.9,"scenario_4"
"51",2035,10483.9,17128,"scenario_4"
"52",2036,10551.7,6541.41,"scenario_4"
"53",2024,0,0,"scenario_5"
"54",2025,0,0,"scenario_5"
"55",2026,0,0,"scenario_5"
"56",2027,0,0,"scenario_5"
"57",2028,0,0,"scenario_5"
"58",2029,0,0,"scenario_5"
"59",2030,0,0,"scenario_5"
"60",2031,0,0,"scenario_5"
"61",2032,0,0,"scenario_5"
"62",2033,0,0,"scenario_5"
"63",2034,0,0,"scenario_5"
"64",2035,0,104481,"scenario_5"
"65",2036,0,0,"scenario_5"
"66",2024,18341.9,36708.5,"scenario_6"
"67",2025,15432.7,46245.1,"scenario_6"
"68",2026,16595.2,47659.3,"scenario_6"
"69",2027,19702.7,42564.9,"scenario_6"
"70",2028,22503.3,38281.1,"scenario_6"
"71",2029,23855.5,37299.9,"scenario_6"
"72",2030,24043.1,37687.1,"scenario_6"
"73",2031,23901.6,38030.5,"scenario_6"
"74",2032,23811.4,38116.7,"scenario_6"
"75",2033,23794.2,38099,"scenario_6"
"76",2034,23799.8,38077.7,"scenario_6"
"77",2035,23804.5,38071.1,"scenario_6"
"78",2036,23805.6,36708.5,"scenario_6"
"79",2024,15237.8,59940.5,"scenario_7"
"80",2025,14618.4,48439.3,"scenario_7"
"81",2026,19121.2,46856.4,"scenario_7"
"82",2027,20102.2,42092.9,"scenario_7"
"83",2028,22453.5,38225.7,"scenario_7"
"84",2029,23786.3,37339.2,"scenario_7"
"85",2030,24020.9,37708.5,"scenario_7"
"86",2031,23901.3,38032.6,"scenario_7"
"87",2032,23814.2,38114.2,"scenario_7"
"88",2033,23795.5,38097.7,"scenario_7"
"89",2034,23800,38077.6,"scenario_7"
"90",2035,23804.4,38071.3,"scenario_7"
"91",2036,23805.6,59940.5,"scenario_7"
