"","Yr","scenario_1","scenario_2","scenario_3","scenario_4","scenario_5","scenario_6","scenario_7"
"1",2023,7311.63,7311.63,7311.63,7311.63,7311.63,7311.63,7311.63
"2",2024,15237.8,15237.8,11241.8,3479.11,0,18341.9,15237.8
"3",2025,14618.4,14618.4,12677.1,5130.03,0,15432.7,14618.4
"4",2026,15890.7,15890.7,14432.5,5887.85,0,16595.2,19121.2
"5",2027,18675,18675,16436.1,6655.27,0,19702.7,20102.2
"6",2028,21358.9,21358.9,17357.7,7466.22,0,22503.3,22453.5
"7",2029,22234.5,22234.5,18475.8,8263.3,0,23855.5,23786.3
"8",2030,22665,22665,19365.4,8965.82,0,24043.1,24020.9
"9",2031,22843.6,22843.6,19908.7,9520.99,0,23901.6,23901.3
"10",2032,22885,22885,20183.8,9922.07,0,23811.4,23814.2
"11",2033,22885.1,22885.1,20307,10195.5,0,23794.2,23795.5
"12",2034,22880.2,22880.2,20358.1,10372.8,0,23799.8,23800
"13",2035,22877.3,22877.3,20378.2,10483.9,0,23804.5,23804.4
"14",2036,22876,22876,20385.7,10551.7,0,23805.6,23805.6
