"","Yr","SSB","SSB_PER","SB100","SB40","SB35","F40","F35","C_ABC","C_OFL"
"1",2024,25001.2,0.347287123211557,71990,28796,25196.5,0.824598,1.02551,15237.8,18341.9
"2",2025,24508.95,0.340449367967773,71990,28796,25196.5,0.787482,0.977657,14618.4,17588
