"","Yr","TOT","SUMM","SSB","std","F","Catch","SSB_unfished","model"
"1",1991,164444,164444,59888.5,6053.35,0.144053,9797.54,71990,"scenario_1"
"2",1992,176503,176503,61750.5,5411.15,0.622463,43067.8,71990,"scenario_1"
"3",1993,153787,153787,55829.5,5068.9,0.583088,34204.7,71990,"scenario_1"
"4",1994,135408,135408,51253.5,4778.055,0.380697,21539.1,71990,"scenario_1"
"5",1995,130432,130432,47832.3,4292.72,0.337276,16534.1,71990,"scenario_1"
"6",1996,132371,132371,45751.95,3779.345,0.702772,31609.1,71990,"scenario_1"
"7",1997,123060,123060,42344.55,3296.325,0.738548,25164,71990,"scenario_1"
"8",1998,125179,125179,40620.8,2981.665,1.02999,34726.3,71990,"scenario_1"
"9",1999,125503,125503,39224.95,2916.885,0.960668,28130.4,71990,"scenario_1"
"10",2000,131732,131732,41537,3055.335,1.36459,39684.7,71990,"scenario_1"
"11",2001,125974,125974,41561,3175.71,0.97225,34207.3,71990,"scenario_1"
"12",2002,127891,127891,40904.2,3300.72,1.20378,30800.9,71990,"scenario_1"
"13",2003,135413,135413,41992,3478.975,1.46238,32456.7,71990,"scenario_1"
"14",2004,137164,137164,46217.05,3762.68,1.00953,28873.1,71990,"scenario_1"
"15",2005,132992,132992,48604.75,3720.15,0.680553,22693.6,71990,"scenario_1"
"16",2006,125927,125927,47631.9,3401.495,0.564875,24211.4,71990,"scenario_1"
"17",2007,113907,113907,41668.95,2930.675,0.955254,34354.6,71990,"scenario_1"
"18",2008,94087.7,94087.7,32194.3,2428.44,1.16235,31228.8,71990,"scenario_1"
"19",2009,80436.1,80436.1,25780.55,2088.01,1.53135,28582.1,71990,"scenario_1"
"20",2010,72564.3,72564.3,21788.4,1966.975,2.31533,29006.3,71990,"scenario_1"
"21",2011,64401.5,64401.5,20824.55,1922.085,0.942364,10888.6,71990,"scenario_1"
"22",2012,68255.3,68255.3,23488.65,1977.935,1.17926,18220,71990,"scenario_1"
"23",2013,63176.6,63176.6,22318.75,1946.575,0.997566,13612.3,71990,"scenario_1"
"24",2014,61904.1,61904.1,21642.05,1905.515,0.785344,10583.2,71990,"scenario_1"
"25",2015,64228.2,64228.2,21900.5,1894.285,0.464503,9209.56,71990,"scenario_1"
"26",2016,70140.2,70140.2,23000.6,1961.07,0.856146,13231.8,71990,"scenario_1"
"27",2017,74289.6,74289.6,24036.05,2104.945,0.831561,15170.3,71990,"scenario_1"
"28",2018,75687.6,75687.6,25243.65,2362.79,0.914303,20414.3,71990,"scenario_1"
"29",2019,69222.7,69222.7,23489.1,2451.02,0.947838,19186.9,71990,"scenario_1"
"30",2020,63629.5,63629.5,21390.1,2519.115,0.632734,14249.9,71990,"scenario_1"
"31",2021,63802,63802,20513.15,2539.755,0.688405,13966.1,71990,"scenario_1"
"32",2022,65345.9,65345.9,20784.15,2594.97,0.605839,11852,71990,"scenario_1"
"33",2023,67518,67518,22924.85,3031.065,0.254176,7311.63,71990,"scenario_1"
"34",2024,72911,72911,25001.2,3392.61,0.824598,15237.8,71990,"scenario_1"
"35",2025,74740.5,74740.5,24508.95,9783.75,0.787482,14618.4,71990,"scenario_1"
"36",2026,79624.1,79624.1,25364.35,16291.2,0.851783,15890.7,71990,"scenario_1"
"37",2027,85090.3,85090.3,27146.6,19508.95,0.985649,18675,71990,"scenario_1"
"38",2028,88934.4,88934.4,28622.45,18234.25,1.09654,21358.9,71990,"scenario_1"
"39",2029,90630.3,90630.3,29363.5,16689.35,1.10961,22234.5,71990,"scenario_1"
"40",2030,91427.2,91427.2,29709.25,20394.7,1.10961,22665,71990,"scenario_1"
"41",2031,91703.6,91703.6,29823.15,22414.85,1.10961,22843.6,71990,"scenario_1"
"42",2032,91752.5,91752.5,29841.3,23527.25,1.10961,22885,71990,"scenario_1"
"43",2033,91743.6,91743.6,29836.7,24096.2,1.10961,22885.1,71990,"scenario_1"
"44",2034,91732.2,91732.2,29831.75,24353.8,1.10961,22880.2,71990,"scenario_1"
"45",2035,91726.2,91726.2,29829.3,24456.6,1.10961,22877.3,71990,"scenario_1"
"46",2036,91723.9,91723.9,29828.3,24493.35,1.10961,22876,71990,"scenario_1"
"47",1991,164444,164444,59888.5,6053.35,0.144053,9797.54,71990,"scenario_2"
"48",1992,176503,176503,61750.5,5411.15,0.622463,43067.8,71990,"scenario_2"
"49",1993,153787,153787,55829.5,5068.9,0.583088,34204.7,71990,"scenario_2"
"50",1994,135408,135408,51253.5,4778.055,0.380697,21539.1,71990,"scenario_2"
"51",1995,130432,130432,47832.3,4292.72,0.337276,16534.1,71990,"scenario_2"
"52",1996,132371,132371,45751.95,3779.345,0.702772,31609.1,71990,"scenario_2"
"53",1997,123060,123060,42344.55,3296.325,0.738548,25164,71990,"scenario_2"
"54",1998,125179,125179,40620.8,2981.665,1.02999,34726.3,71990,"scenario_2"
"55",1999,125503,125503,39224.95,2916.885,0.960668,28130.4,71990,"scenario_2"
"56",2000,131732,131732,41537,3055.335,1.36459,39684.7,71990,"scenario_2"
"57",2001,125974,125974,41561,3175.71,0.97225,34207.3,71990,"scenario_2"
"58",2002,127891,127891,40904.2,3300.72,1.20378,30800.9,71990,"scenario_2"
