Label,M23_0a,M23_0b
TOTAL_like,773.586,755.202
Survey_like,-2.21374,-6.76992
Length_comp_like,138.398,128.013
Age_comp_like,640.848,637.751
Parm_priors_like,0.0233247,0.026822
Recr_Virgin_millions,25.202,28.5779
SR_LN(R0),10.1347,10.2604
SR_BH_steep,1,1
NatM_uniform_Fem_GP_1,0.350872,0.375041
L_at_Amax_Fem_GP_1,117.18,116.048
VonBert_K_Fem_GP_1,0.190451,0.193375
VonBert_K_Fem_GP_1_BLK1add_1991,0.00402206,0.00323428
VonBert_K_Fem_GP_1_BLK1add_2004,0.00316883,0.00166303
VonBert_K_Fem_GP_1_BLK1add_2018,-0.0071905,-0.00489683
SSB_Virgin_thousand_mt,157.733,147.354
Bratio_2021,0.239639,0.278421
SPRratio_2020,0.596328,0.562794
npar,72,110
AIC,1691.172,1730.404
