"","type","peel","Rho","ForcastRho"
"1","SSB","2022",0.00199124252037974,0.00117419177894331
"2","SSB","2021",-0.381331348170833,-0.683556922371448
"3","SSB","2020",-0.0666569765178277,-0.391954793399158
"4","SSB","2019",0.261885521412326,-0.0384326876406477
"5","SSB","2018",0.566123509017327,0.295549356213123
"6","SSB","2017",0.46449052093727,0.61023143547995
"7","SSB","2016",0.328259305880237,0.462880889463931
"8","SSB","2015",0.29886392856308,0.392932925732782
"9","SSB","2014",0.197427064796826,0.298024731760911
"10","SSB","2013",0.0324428418875022,0.0715393531745384
"11","SSB","Combined",0.170349561032629,0.101838848019293
"12","F","2022",-0.00255008644898866,-0.00188810615989511
"13","F","2021",1.57517806565366,5.16866970137535
"14","F","2020",0.528458527243063,1.63029017411811
"15","F","2019",-0.000971983834085457,0.416472542038369
"16","F","2018",-0.25910383182122,-0.0574183341650261
"17","F","2017",-0.348441583679362,-0.436065049214494
"18","F","2016",-0.269055747771693,-0.346405073231091
"19","F","2015",-0.26465955820329,-0.325548197878239
"20","F","2014",-0.197904699070651,-0.261750052720371
"21","F","2013",-0.0855311477598984,-0.117985803824322
"22","F","Combined",0.067541795430754,0.56683718003384
