"","type","peel","Rho","ForcastRho"
"1","SSB","2022",0.000854016161353724,-0.000785174166897493
"2","SSB","2021",-0.539273587917994,-0.803189930788606
"3","SSB","2020",-0.328184533966648,-0.647389601304529
"4","SSB","2019",0.160587251107961,-0.130885316104179
"5","SSB","2018",0.47472730765955,0.201246535627163
"6","SSB","2017",0.419711225430135,0.539963515577185
"7","SSB","2016",0.299207411980557,0.413399872275187
"8","SSB","2015",0.312753133490103,0.400517812578802
"9","SSB","2014",0.207330174359638,0.310504326385242
"10","SSB","2013",0.0632338280593671,0.118068759660014
"11","SSB","Combined",0.107094622636402,0.0401450799739382
"12","F","2022",-0.0033259661395189,0.54142798690671
"13","F","2021",5.76052614376711,7.25301771592783
"14","F","2020",2.89199884943752,5.64222369099585
"15","F","2019",0.358059077606089,6.90221483277333
"16","F","2018",-0.155617995347275,0.208824714771934
"17","F","2017",-0.344900734882949,-0.111511172991886
"18","F","2016",-0.235553281800067,1.7710294253819
"19","F","2015",-0.294547075045802,-0.386172451894887
"20","F","2014",-0.166940856490914,-0.021244211555146
"21","F","2013",-0.15878849118755,-0.292586433461006
"22","F","Combined",0.765090966991665,2.15072240968546
