"","Yr","SSB","SSB_PER","SB100","SB40","SB35","F40","F35","C_ABC","C_OFL"
"1",2024,26602.25,0.332611277819455,79980,31992,27993,0.362991,0.444931,12757,15311.3
"2",2025,27728.15,0.346688547136784,79980,31992,27993,0.397747,0.487236,14955.3,17880
