"","Yr","scenario_1","scenario_2","scenario_3","scenario_4","scenario_5","scenario_6","scenario_7"
"1",2023,0.265116,0.265116,0.265116,0.265116,0.265116,0.265116,0.265116
"2",2024,0.362991,0.362991,0.410951,0.0831015,0,0.444931,0.36299
"3",2025,0.397747,0.397747,0.43213,0.113265,0,0.454102,0.397748
"4",2026,0.425526,0.425526,0.455843,0.113265,0,0.475225,0.521826
"5",2027,0.468727,0.468727,0.502664,0.113265,0,0.525153,0.535022
"6",2028,0.503875,0.503875,0.540655,0.113265,0,0.565215,0.565097
"7",2029,0.520952,0.520952,0.557857,0.113265,0,0.582366,0.580991
"8",2030,0.525485,0.525485,0.561527,0.113265,0,0.585372,0.584692
"9",2031,0.525269,0.525269,0.560763,0.113265,0,0.584254,0.584103
"10",2032,0.524367,0.524367,0.559738,0.113265,0,0.58318,0.583201
"11",2033,0.523908,0.523908,0.559326,0.113265,0,0.582815,0.582848
"12",2034,0.523786,0.523786,0.559258,0.113265,0,0.582783,0.582797
"13",2035,0.523787,0.523787,0.559282,0.113265,0,0.582819,0.582821
"14",2036,0.523807,0.523807,0.559305,0.113265,0,0.582842,0.582841
