"","Yr","scenario_1","scenario_2","scenario_3","scenario_4","scenario_5","scenario_6","scenario_7"
"1",2023,7898,7898,7898,7898,7898,7898,7898
"2",2024,12757,12757,14265.4,3144.87,0,15311.3,12757
"3",2025,14955.3,14955.3,15752.3,5260.21,0,16207,14955.3
"4",2026,16345.2,16345.2,16827.5,6052.19,0,17091.3,19524.4
"5",2027,18429,18429,18935.7,6815.98,0,19244.9,19798.7
"6",2028,20331.6,20331.6,20868.4,7569.71,0,21203.2,21216.5
"7",2029,21367.9,21367.9,21852.8,8252.68,0,22148.6,22078.4
"8",2030,21678.4,21678.4,22097.6,8813.08,0,22348.9,22310.8
"9",2031,21682.6,21682.6,22070,9239.98,0,22302.8,22293.3
"10",2032,21632.5,21632.5,22015.3,9549.74,0,22247.1,22247.7
"11",2033,21603.7,21603.7,21990.6,9765.75,0,22225.8,22227.5
"12",2034,21595.1,21595.1,21985.6,9913.16,0,22223.1,22223.8
"13",2035,21594.7,21594.7,21986.6,10012.2,0,22224.7,22224.9
"14",2036,21595.8,21595.8,21987.9,10077.9,0,22226,22225.9
