"","type","peel","Rho","ForcastRho"
"1","SSB","2022",0.00180217686997249,0.00114197353790493
"2","SSB","2021",-0.188757429628799,-0.27622067541711
"3","SSB","2020",0.139713026314444,0.11888807895032
"4","SSB","2019",0.235110410367919,0.320756501907363
"5","SSB","2018",0.143435601931163,0.247899214262819
"6","SSB","2017",0.245869802622023,0.546246033815999
"7","SSB","2016",0.0113646875824427,0.222029153912502
"8","SSB","2015",0.0444654558578609,0.0615858484457068
"9","SSB","2014",0.0294794674366377,0.043790626069107
"10","SSB","2013",-0.0617418297800634,-0.0787516041065127
"11","SSB","Combined",0.0600741369573601,0.12073651513781
"12","F","2022",-0.00208626614320564,-0.00155815587669185
"13","F","2021",0.278030528770094,0.445757954654752
"14","F","2020",-0.142479766849454,-0.142322189420912
"15","F","2019",-0.222557346738314,-0.287400812524939
"16","F","2018",-0.148777812474991,-0.233229329173167
"17","F","2017",-0.275320259002189,-0.437748231095991
"18","F","2016",-0.0800533611739459,-0.254569804816695
"19","F","2015",-0.0777803949766312,-0.14636331999304
"20","F","2014",-0.0594190816020275,-0.0741314687857713
"21","F","2013",0.0139702235087694,0.0342981958848834
"22","F","Combined",-0.0716473536681894,-0.109726716114757
