"","Yr","scenario_1","scenario_2","scenario_3","scenario_4","scenario_5","scenario_6","scenario_7"
"1",2024,0.144452,0.144452,0.144452,0.144452,0.144452,0.144452,0.144452
"2",2025,0.405652,0.405652,0.241665,0.0788197,0,0.520596,0.405651
"3",2026,0.428315,0.428315,0.274294,0.0963231,0,0.523185,0.428314
"4",2027,0.47103,0.47103,0.312559,0.115726,0,0.566012,0.6045
"5",2028,0.546249,0.546249,0.366446,0.140021,0,0.655768,0.668457
"6",2029,0.645279,0.645279,0.434796,0.15774,0,0.774822,0.776833
"7",2030,0.738346,0.738346,0.48364,0.15774,0,0.882315,0.881563
"8",2031,0.795113,0.795113,0.48364,0.15774,0,0.942084,0.941525
"9",2032,0.811822,0.811822,0.48364,0.15774,0,0.957553,0.957438
"10",2033,0.811822,0.811822,0.48364,0.15774,0,0.955933,0.955954
"11",2034,0.811822,0.811822,0.48364,0.15774,0,0.953395,0.953415
"12",2035,0.811822,0.811822,0.48364,0.15774,0,0.95263,0.952635
"13",2036,0.811822,0.811822,0.48364,0.15774,0,0.952633,0.952632
"14",2037,0.811822,0.811822,0.48364,0.15774,0,0.95272,0.952719
"15",2038,0.811822,0.811822,0.48364,0.15774,0,0.952752,0.952752
"16",2039,0.811822,0.811822,0.48364,0.15774,0,0.952755,0.952755
