"","Yr","scenario_1","scenario_2","scenario_3","scenario_4","scenario_5","scenario_6","scenario_7"
"1",2024,3950,3950,3950,3950,3950,3950,3950
"2",2025,11483.7,11483.7,7148.12,2438.3,0,14302.3,11483.7
"3",2026,12595.1,12595.1,9031.21,3592.76,0,14304.2,12595.1
"4",2027,14758.3,14758.3,11381.6,5075,0,16225.2,18331.8
"5",2028,19035.2,19035.2,15077.3,7234.13,0,20835.2,21603.1
"6",2029,25556.9,25556.9,20532.4,9687.98,0,27908.2,28048.3
"7",2030,32591.1,32591.1,25937.5,11490.2,0,35180.2,35126.1
"8",2031,37345.2,37345.2,28652.1,13306.1,0,39611.4,39568.2
"9",2032,38947.6,38947.6,30609.5,14833.3,0,40828.1,40818.8
"10",2033,39045.4,39045.4,31730.6,15944.3,0,40716.6,40718.1
"11",2034,38977.8,38977.8,32283.5,16676.1,0,40521.8,40523.4
"12",2035,38914.7,38914.7,32533.6,17128.7,0,40461.6,40462
"13",2036,38882.7,38882.7,32641.8,17398.7,0,40461.2,40461.2
"14",2037,38869.8,38869.8,32687.3,17555.6,0,40467.9,40467.8
"15",2038,38865.2,38865.2,32706.2,17645.3,0,40470.4,40470.4
"16",2039,38863.7,38863.7,32713.8,17695.8,0,40470.6,40470.6
