"","Yr","SSB","SSB_PER","SB100","SB40","SB35","F40","F35","C_ABC","C_OFL"
"1",2025,29004.9,0.228595635349101,126883,50753,44408.95,0.351631,0.445038,15121.1,18602.7
"2",2026,29498.7,0.232487409660869,126883,50753,44408.95,0.35819,0.45334,15565,19152
